Lambda,Crack Length
1,13.5598128
1.069839214,13.5598128
1.078043165,13.5598128
1.08214514,13.5598128
1.086247115,13.5598128
1.086247115,13.5598128
1.09034909,13.5598128
1.094451065,13.5598128
1.102655015,13.5598128
1.102655015,13.5598128
1.102655015,13.5598128
1.110858966,13.5598128
1.114960941,13.5598128
1.114960941,13.5598128
1.119062916,13.5598128
1.123164891,13.5598128
1.127266866,13.5598128
1.131368841,13.5598128
1.135470817,13.5598128
1.139572792,13.5598128
1.14047771,13.5598128
1.144804745,13.5598128
1.144812587,13.5598128
1.153470536,13.5598128
1.153558125,13.58285327
1.164333485,13.6285663
1.166480569,13.74336148
1.168621949,13.7891723
1.172945178,13.7891723
1.172945178,13.7891723
1.175115412,13.81211601
1.179438672,13.90389087
1.18383412,13.90406124
1.18810234,13.92270067
1.192431316,13.92700468
1.19242566,13.94979717
1.198919154,13.94994811
1.205412649,13.94985377
1.205412649,13.94994811
1.209747224,13.97279736
1.209739703,13.97710217
1.212521702,13.99566573
1.216262889,14.01860944
1.218397791,14.01862822
1.220562292,14.01877842
1.220564136,14.04155315
1.222728634,14.04155315
1.229222129,14.04162813
1.23572109,14.0646653
1.235715624,14.0646653
1.237923775,14.06449687
1.240042804,14.06457173
1.248708025,14.06457173
1.242209119,14.0646653
1.242214557,14.06449687
1.259525105,14.10780105
1.248708025,14.11045891
1.255201493,14.11055218
1.261694961,14.11085063
1.261689604,14.13334664
1.266032841,14.1334025
1.27035292,14.13332801
1.285497333,14.13334664
1.289828084,14.1334025
1.281175369,14.13349562
1.287663585,14.13362598
1.291990837,14.15627173
1.291992582,14.15627173
1.300650576,14.15627173
1.304979574,14.15643906
1.298491289,14.15656921
1.300648842,14.17951244
1.313637568,14.1796795
1.317966565,14.17928969
1.315807212,14.20215915
1.322293856,14.22517688
1.320131064,14.22517688
1.333131605,14.2252694
1.335280864,14.24806506
1.34394055,14.24821284
1.335280864,14.24821284
1.352596875,14.29409974
1.350439064,14.31687773
1.363421039,14.31704319
1.363421039,14.33982144
1.361261519,14.38572717
1.354768046,14.43176044
1.367750036,14.4547039
1.367754993,14.4547039
1.372077387,14.40894486
1.380741941,14.38587354
1.378570891,14.45454001
1.376408032,14.43161454
1.389395025,14.45483136
1.389395025,14.50059081
1.395886902,14.52338928
1.40021752,14.61521805
1.406711016,14.61579433
1.406723881,14.66105139
1.415367414,14.68404885
1.421860918,14.68404885
1.42618992,14.63825155
1.428354422,14.63837742
1.434847926,14.75296887
1.434847926,14.77575201
1.44134143,14.77575201
1.445670433,14.73165137
1.447834934,14.8676862
1.449999435,14.75296887
1.454490907,14.91343195
1.456494494,14.98224544
1.460835896,15.02857072
1.458663652,15.00518916
1.46731699,15.07403776
1.467371024,15.14300788
1.469481489,15.1887562
1.471650607,15.18880819
1.47380895,15.21169989
1.475974987,15.3952494
1.491138641,15.8313125
1.48247307,15.89999401
1.495453964,15.94588144
1.491131041,16.01471259
1.504117998,16.38181201
1.497624519,16.5194743
1.512771473,16.56550473
1.510605473,16.68009608
1.512771473,16.68014342
1.519263478,16.7719964
1.519264971,16.77224749
1.530091915,16.88657373
1.530085985,16.88658932
1.530087468,16.9324767
1.538757261,17.02423601
1.543072993,17.07037015
1.547401996,17.07018512
1.549566497,17.09306716
1.556060001,17.1390928
1.562553505,17.13895459
1.562553505,17.18497986
1.562553505,17.29969752
1.573376012,17.36845235
1.573376012,17.4831103
1.575540514,17.55194144
1.579869516,17.57512478
1.58636302,17.62114602
1.588528951,17.6266709
1.590124824,17.68973764
1.594614854,17.89609716
1.597185527,18.0797779
1.599350028,18.67631028
1.601515948,18.74514096
1.603684697,18.88269081
1.603680448,19.11223796
1.614514204,21.42947829
1.620994949,22.57662653
1.625329638,24.11385465
1.627501114,24.48095392
1.638311053,27.16536743
1.644804557,27.39488135
1.644804557,27.32600227
1.649133559,27.50959956
1.65105574,27.50959956
1.653462666,27.5784973
1.657791486,27.76189431
1.662120515,30.72163345
1.666449544,31.68526946
1.672943087,31.7541752
1.675107602,31.8917959
1.681606491,34.02555926
1.683604415,35.74633634
1.692423509,35.92986393
1.694588024,35.92992253
1.698917052,35.9298566
1.698917052,36.36585231
1.701081567,39.69343679
1.705410596,39.69343679
1.707575096,39.69343679
1.707580427,39.69343679
1.718402901,39.69343679
1.720567396,39.69343679
1.724892426,39.69343679
1.733550425,39.69343679
1.735713613,39.69343679
1.737879425,39.69343679
1.742208425,39.69343679
1.746547855,39.69343679
1.753029624,39.69343679
1.755195423,39.69343679
1.8,39.69343679