B2D1 D Dis,B2D1 D Force,B2D1 ND Dis,B2D1 ND Force,B1D2 D Dis,B1D2 D Force,B1D2 ND Dis,B1D2 ND Force,B1D3 D Dis,B1D3 D Force,B1D3 ND Dis,B1D3 ND Force
1,20.01879721,1,20.01896799,1,10.0188,1,12.01896799,1,15.01879721,1,15.01896799
1.02,23.69848997,1.004,20.85263358,1.02,14.1396,1.01,14.25441897,1.02,19.05438939,1.01,17.52692218
1.04,28.14240781,1.008,21.62410671,1.04,18.8951,1.02,16.48239973,1.04,24.79325809,1.02,20.04269178
1.06,31.88910928,1.012,22.45441577,1.06,23.1313,1.03,18.66816765,1.06,29.97443244,1.03,22.50510375
1.08,35.67696768,1.016,23.26220694,1.08,27.3322,1.04,20.83287396,1.08,34.7473222,1.04,24.95072143
1.1,39.7230415,1.02,24.04147514,1.1,31.5445,1.05,22.98619597,1.1,38.87008045,1.05,27.35781652
1.12,43.53925769,1.024,24.86318812,1.12,36.1331,1.06,25.11643059,1.12,44.08419704,1.06,29.7455062
1.14,47.90684241,1.028,25.64873893,1.14,40.1559,1.07,27.24177767,1.14,48.76626343,1.07,32.12083474
1.16,51.8067371,1.032,26.44399782,1.16,44.4102,1.08,29.35764406,1.16,53.42940092,1.08,34.48261254
1.18,55.56066273,1.036,27.23263145,1.18,49.3132,1.09,31.47032641,1.18,58.12890934,1.09,36.83849776
1.2,60.15062662,1.04,28.01712092,1.2,53.9302,1.1,33.58419557,1.2,63.54626737,1.1,39.18670863
1.22,64.16449928,1.044,28.80170538,1.22,58.2162,1.11,35.69924333,1.22,68.4485957,1.11,41.53552884
1.24,69.25095564,1.048,29.5809945,1.24,63.3370,1.12,37.82360535,1.24,73.29307396,1.12,43.88436627
1.26,73.18959717,1.052,30.35589221,1.26,68.1637,1.13,39.95587907,1.26,79.14914979,1.13,46.23754424
1.28,78.6251203,1.056,31.1353857,1.28,73.5659,1.14,42.10218165,1.28,84.44337039,1.14,48.59987346
1.3,83.41294155,1.06,31.91031316,1.3,79.0022,1.15,44.26325218,1.3,89.82998871,1.15,50.97286527
1.32,88.94198026,1.064,32.68381384,1.32,84.4704,1.16,46.44312817,1.32,95.88087454,1.16,53.36040282
1.34,95.10658819,1.068,33.45687582,1.34,90.4021,1.17,48.64348065,1.34,102.1660812,1.17,55.76348176
1.36,101.1786252,1.072,34.22946147,1.36,96.8831,1.18,50.86795991,1.36,108.7257164,1.18,58.18502477
1.38,107.4019989,1.076,35.00333418,1.38,103.4580,1.19,53.11838478,1.38,115.6520079,1.19,60.62902281
1.4,114.3394271,1.08,35.77613887,1.4,110.4036,1.2,55.39807275,1.4,122.2927163,1.2,63.09698905
1.42,121.1845771,1.084,36.54712107,1.42,117.5560,1.21,57.70870789,1.42,130.2334348,1.21,65.59060073
1.44,128.6375187,1.088,37.31946596,1.44,125.3767,1.22,60.05266618,1.44,137.6162776,1.22,68.11296715
1.46,136.3410033,1.092,38.09358182,1.46,132.8957,1.23,62.43185799,1.46,145.3004361,1.23,70.66646903
1.48,144.6145514,1.096,38.86738004,1.48,141.3320,1.24,64.84899844,1.48,153.0215425,1.24,73.25231098
1.5,152.8948633,1.1,39.63994647,1.5,150.0855,1.25,67.30608523,1.5,161.9798316,1.25,75.87315272
1.52,162.2904293,1.104,40.4142287,1.52,158.3888,1.26,69.80489271,1.52,168.5257821,1.26,78.53116056
1.54,170.5441792,1.108,41.19111156,1.54,167.3212,1.27,72.34742408,1.54,173.7686355,1.27,81.22758343
1.56,178.8910457,1.112,41.9692406,1.56,173.3184,1.28,74.93599187,1.56,175.1331523,1.28,83.9649937
1.58,183.4586398,1.116,42.74821791,1.58,172.9349,1.29,77.57236093,1.58,170.698685,1.29,86.74483136
1.6,182.5016927,1.12,43.52829239,1.6,164.0029,1.3,80.25821363,1.6,156.7813997,1.3,89.56825781
1.62,171.6280202,1.124,44.31181767,1.62,138.9714,1.31,82.99463869,1.62,126.7143142,1.31,92.43423603
1.64,144.6490304,1.128,45.09771249,1.64,96.5267,1.32,85.78144115,1.64,80.55370679,1.32,95.34792732
1.66,100.1793604,1.132,45.88574865,1.66,38.2849,1.33,88.6232999,1.66,20.96309564,1.33,98.31118795
1.68,41.31641765,1.136,46.67572581,1.68,5.2670,1.34,91.5221802,1.68,20.25840776,1.34,101.3254409
1.7,20.76423539,1.14,47.46856482,1.7,13.4719,1.35,94.47944979,1.7,13.88453153,1.35,104.3924517
1.72,21.3253283,1.144,48.26463485,1.72,14.1889,1.36,97.49720738,1.72,11.2728076,1.36,107.5136559
1.74,21.15593722,1.148,49.06419145,1.74,9.3099,1.37,100.5766673,1.74,10.9341266,1.37,110.6905792
1.76,22.24653455,1.152,49.86702944,1.76,8.2600,1.38,103.7199656,1.76,13.87660647,1.38,113.9248813
1.78,21.88770656,1.156,50.67267999,1.78,9.1980,1.39,106.9282767,1.78,14.8115423,1.39,117.2177456
1.8,20.32342897,1.16,51.48165989,1.8,9.3967,1.4,110.2036763,1.8,9.737452123,1.4,120.5709911
,,1.164,52.29495558,,,1.41,113.5473159,,,1.41,123.9857512
,,1.168,53.11256751,,,1.42,116.9612114,,,1.42,127.4581449
,,1.172,53.93411509,,,1.43,120.4400143,,,1.43,130.9888779
,,1.176,54.75949397,,,1.44,123.9873034,,,1.44,134.585317
,,1.18,55.58946816,,,1.45,127.6095259,,,1.45,138.2490308
,,1.184,56.42393221,,,1.46,131.3079489,,,1.46,141.9815309
,,1.188,57.26333682,,,1.47,135.0843594,,,1.47,145.7839464
,,1.192,58.10783514,,,1.48,138.9401802,,,1.48,149.6575487
,,1.196,58.95747013,,,1.49,142.8768173,,,1.49,153.590037
,,1.2,59.81197466,,,1.5,146.8795915,,,1.5,157.5926289
,,1.204,60.67162934,,,1.51,150.9655735,,,1.51,161.6707582
,,1.208,61.53707323,,,1.52,155.1372183,,,1.52,165.825408
,,1.212,62.40830512,,,1.53,159.3959188,,,1.53,170.0537548
,,1.216,63.28522112,,,1.54,163.7332909,,,1.54,174.3394781
,,1.22,64.16816634,,,1.55,168.1451795,,,1.55,178.7063102
,,1.224,65.0572886,,,1.56,172.6498137,,,1.56,183.1554317
,,1.228,65.95237773,,,1.57,177.2471087,,,1.57,187.6564898
,,1.232,66.85368021,,,1.58,181.900442,,,1.58,192.2355263
,,1.236,67.76172392,,,1.59,186.6532773,,,1.59,196.8824844
,,1.24,68.67650749,,,1.6,191.467439,,,1.6,201.5713643
,,1.244,69.59791051,,,1.61,196.3601878,,,1.61,206.2767568
,,1.248,70.52628013,,,1.62,201.2499749,,,1.62,210.7538271
,,1.252,71.46184704,,,1.63,204.4811526,,,1.63,177.2995267
,,1.256,72.40442694,,,1.64,160.6387743,,,1.64,61.83250882
,,1.26,73.35412642,,,1.65,34.08485366,,,1.65,15.58248783
,,1.264,74.31139044,,,1.66,8.053972268,,,1.66,14.17744172
,,1.268,75.2763107,,,1.67,11.4673633,,,1.67,19.15120962
,,1.272,76.24878062,,,1.68,14.47956696,,,1.68,17.11647788
,,1.276,77.22907726,,,1.69,11.00542391,,,1.69,13.79927837
,,1.28,78.21750489,,,1.7,12.94497302,,,1.7,14.58958756
,,1.284,79.21397174,,,1.71,12.20986351,,,1.71,14.63899323
,,1.288,80.21847087,,,1.72,10.76029746,,,1.72,15.61653451
,,1.292,81.23134554,,,1.73,11.73411842,,,1.73,15.43501771
,,1.296,82.25275169,,,1.74,10.51921389,,,1.74,13.18348202
,,1.3,83.2825828,,,1.75,12.33179593,,,1.75,15.32581654
,,1.304,84.32100651,,,1.76,12.98567351,,,1.76,16.11825869
,,1.308,85.36836422,,,1.77,11.77506401,,,1.77,14.56803992
,,1.312,86.42468497,,,1.78,12.6555339,,,1.78,14.6941084
,,1.316,87.48992291,,,1.79,11.92523151,,,1.79,15.10408541
,,1.32,88.56434393,,,1.8,11.3644084,,,1.8,14.81301478
,,1.324,89.6481802,,,,,,,,
,,1.328,90.74137379,,,,,,,,
,,1.332,91.84397473,,,,,,,,
,,1.336,92.95511658,,,,,,,,
,,1.34,94.07554593,,,,,,,,
,,1.344,95.20578281,,,,,,,,
,,1.348,96.3459134,,,,,,,,
,,1.352,97.49629027,,,,,,,,
,,1.356,98.65679955,,,,,,,,
,,1.36,99.82755447,,,,,,,,
,,1.364,101.0087496,,,,,,,,
,,1.368,102.2005575,,,,,,,,
,,1.372,103.403008,,,,,,,,
,,1.376,104.6161364,,,,,,,,
,,1.38,105.8401767,,,,,,,,
,,1.384,107.0752796,,,,,,,,
,,1.388,108.3214151,,,,,,,,
,,1.392,109.5787118,,,,,,,,
,,1.396,110.8473958,,,,,,,,
,,1.4,112.1275281,,,,,,,,
,,1.404,113.4191335,,,,,,,,
,,1.408,114.7223755,,,,,,,,
,,1.412,116.0374275,,,,,,,,
,,1.416,117.3643425,,,,,,,,
,,1.42,118.7031694,,,,,,,,
,,1.424,120.054089,,,,,,,,
,,1.428,121.417248,,,,,,,,
,,1.432,122.7926776,,,,,,,,
,,1.436,124.1804681,,,,,,,,
,,1.44,125.5808019,,,,,,,,
,,1.444,126.9937879,,,,,,,,
,,1.448,128.4194675,,,,,,,,
,,1.452,129.857957,,,,,,,,
,,1.456,131.3044176,,,,,,,,
,,1.46,132.7637926,,,,,,,,
,,1.464,134.2363892,,,,,,,,
,,1.468,135.7223923,,,,,,,,
,,1.472,137.2216332,,,,,,,,
,,1.476,138.7344811,,,,,,,,
,,1.48,140.260806,,,,,,,,
,,1.484,141.8008677,,,,,,,,
,,1.488,143.3547939,,,,,,,,
,,1.492,144.9226249,,,,,,,,
,,1.496,146.5044471,,,,,,,,
,,1.5,148.1003812,,,,,,,,
,,1.504,149.7105797,,,,,,,,
,,1.508,151.3351223,,,,,,,,
,,1.512,152.9741032,,,,,,,,
,,1.516,154.6276549,,,,,,,,
,,1.52,156.2901309,,,,,,,,
,,1.524,157.9647631,,,,,,,,
,,1.528,159.6543272,,,,,,,,
,,1.532,161.3587757,,,,,,,,
,,1.536,163.0787531,,,,,,,,
,,1.54,164.8136187,,,,,,,,
,,1.544,166.5640192,,,,,,,,
,,1.548,168.3299008,,,,,,,,
,,1.552,170.1112714,,,,,,,,
,,1.556,171.9083852,,,,,,,,
,,1.56,173.7212376,,,,,,,,
,,1.564,175.5379081,,,,,,,,
,,1.568,177.3693788,,,,,,,,
,,1.572,179.2166006,,,,,,,,
,,1.576,181.0806192,,,,,,,,
,,1.58,182.9607516,,,,,,,,
,,1.584,184.8577786,,,,,,,,
,,1.588,186.7716136,,,,,,,,
,,1.592,188.6929655,,,,,,,,
,,1.596,190.6165176,,,,,,,,
,,1.6,192.5574474,,,,,,,,
,,1.604,194.5160517,,,,,,,,
,,1.608,196.4915341,,,,,,,,
,,1.612,198.4682299,,,,,,,,
,,1.616,200.4221042,,,,,,,,
,,1.62,202.3952903,,,,,,,,
,,1.624,204.1458235,,,,,,,,
,,1.628,204.91984,,,,,,,,
,,1.632,196.3153239,,,,,,,,
,,1.636,176.6087134,,,,,,,,
,,1.64,145.1195709,,,,,,,,
,,1.644,101.5061235,,,,,,,,
,,1.648,44.57894653,,,,,,,,
,,1.652,24.41578115,,,,,,,,
,,1.656,19.16652239,,,,,,,,
,,1.66,24.2417075,,,,,,,,
,,1.664,22.44541766,,,,,,,,
,,1.668,21.23141066,,,,,,,,
,,1.672,20.41320249,,,,,,,,
,,1.676,21.01294037,,,,,,,,
,,1.68,23.17362489,,,,,,,,
,,1.684,23.8404709,,,,,,,,
,,1.688,22.32281839,,,,,,,,
,,1.692,20.40592333,,,,,,,,
,,1.696,20.97177151,,,,,,,,
,,1.7,21.44352543,,,,,,,,
,,1.704,21.31610185,,,,,,,,
,,1.708,22.01952449,,,,,,,,
,,1.712,20.88217731,,,,,,,,
,,1.716,21.35521042,,,,,,,,
,,1.72,21.66790694,,,,,,,,
,,1.724,21.66302081,,,,,,,,
,,1.728,21.95807561,,,,,,,,
,,1.732,20.02133141,,,,,,,,
,,1.736,20.09959934,,,,,,,,
,,1.74,20.91655129,,,,,,,,
,,1.744,20.93823817,,,,,,,,
,,1.748,21.33779392,,,,,,,,
,,1.752,20.34843932,,,,,,,,
,,1.756,20.26077532,,,,,,,,
,,1.76,20.72133884,,,,,,,,
,,1.764,20.96841357,,,,,,,,
,,1.768,20.59031317,,,,,,,,
,,1.772,19.70283532,,,,,,,,
,,1.776,20.201535,,,,,,,,
,,1.78,19.9467778,,,,,,,,
,,1.784,20.3544228,,,,,,,,
,,1.788,20.78604745,,,,,,,,
,,1.792,19.79523663,,,,,,,,
,,1.796,20.04849184,,,,,,,,
,,1.8,19.87984834,,,,,,,,